ref_peperiksaan__kod_pusat,,,,,,,,,,,,,,,,,
id,no_sekolah,kod_pusat,id_jenis_calon,nama_pusat,nama_pusat_i18n,jumlah_calon,id_sekolah,id_tahun_peperiksaan,id_bilik_kebal,ids_mata_pelajaran,id_status_pendaftaran,id_status_pendaftaran_calon,id_status_janaan_angka_giliran,id_status_tempoh_pendaftaran,status,created_at,updated_at
69,1,BQ51,7,SAMT SULTAN SALAHUDDIN ABDUL AZIZ SHAH,NULL,121,0,8,NULL,"[30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
70,6,BQ51,13,SAMT SULTAN SALAHUDDIN ABDUL AZIZ SHAH,NULL,1,0,8,NULL,"[30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
71,1,BQ52,7,SEKOLAH AGAMA MENENGAH MUHAMMADIAH,NULL,49,0,8,NULL,"[30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
72,1,BQ53,8,MAAHAD INTEGRASI TAHFIZ SELANGOR SABAK,NULL,49,0,8,NULL,"[30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
73,1,BQ61,7,SEKOLAH AGAMA MENENGAH TINGGI TENGKU,NULL,28,0,8,NULL,"[30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
74,6,BQ61,13,SEKOLAH AGAMA MENENGAH TINGGI TENGKU,NULL,50,0,8,NULL,"[30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
75,1,BQ71,7,SAM BANDAR BARU SALAK TINGGI,NULL,77,0,8,NULL,"[30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
76,6,BQ71,13,SAM BANDAR BARU SALAK TINGGI,NULL,34,0,8,NULL,"[30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
77,0,QEA0096,9,Sekolah Kerajaan,مدارس حكومية,250,1,8,0,"[31,30,32,33,34,35,36,37,38,39]",1,2,1,1,1,2021-07-15 06:50:46,2021-07-15 06:52:13
78,0,123,12,Pusat Sekolah Swasta,مدارس,123,2,8,0,"[30,31,32,33,34,35,36,37,38,39]",1,2,1,1,1,2021-07-15 07:03:59,2021-07-21 05:08:51
